bzi,Geelvink Bay
cab,Chibchan
cac,Cacua-Nukak
cad,Caddoan
cah,Uto-Aztecan
cai,Eastern Sudanic
cak,Mayan
cam,Camsá
can,Candoshi
cap,Pano-Tacanan
car,Cariban
cas,Pano-Tacanan
cat,Choco
cav,Pano-Tacanan
cax,Arawakan
cay,Barbacoan
cba,Chumash
cbo,Pano-Tacanan
cch,Oto-Manguean
cck,Muskogean
ccm,Oto-Manguean
cco,Na-Dene
ccp,Hokan
cct,Muskogean
cde,Cariban
cea,Algic
ceb,Austronesian
cec,Mayan
cem,Austronesian
cga,Niger-Congo
cha,Austronesian
chb,Ramu-Lower Sepik
chc,Nakh-Daghestanian
chd,Sino-Tibetan
che,Iroquoian
chg,Sino-Tibetan
chh,Afro-Asiatic
chi,Hokan
chj,Mayan
chk,Chukotko-Kamchatkan
chl,Salishan
chm,Nakh-Daghestanian
chn,Sino-Tibetan
cho,Hokan
chp,Na-Dene
chq,Oto-Manguean
chr,Austro-Asiatic
chs,Sino-Tibetan
cht,Oto-Manguean
chu,Matacoan
chv,Altaic
chw,Austronesian
chx,Hokan
chy,Cahuapanan
cic,Niger-Congo
cil,Niger-Congo
cin,Chumash
cjo,Oto-Manguean
ckh,Austronesian
ckl,Penutian
cku,Penutian
cla,Salishan
clc,Pama-Nyungan
cld,Afro-Asiatic
cle,Oto-Manguean
cln,Hobitu-Cholon
cly,Altaic
cma,Chibchan
cmc,Hokan
cme,Austronesian
cmh,Uto-Aztecan
cmk,Chimakuan
cml,Sino-Tibetan
cmn,Uto-Aztecan
cmr,Sino-Tibetan
cmx,Salishan
cmy,Mayan
cnl,Macro-Ge
cnm,Katukinan
cnt,Sino-Tibetan
coa,Coahuiltecan
coc,Tupian
coe,Salishan
cof,Cofán
cog,Chibchan
coi,Mayan
col,Mayan
com,Niger-Congo
coo,Oregon Coast
cop,Afro-Asiatic
cor,Uto-Aztecan
cos,Penutian
cpa,Arawakan
cpl,Oto-Manguean
cpn,Sino-Tibetan
cpw,Algic
cpy,Uru-Chipaya
cqt,Chiquitano
cre,Algic
crg,Tupian
crh,Austronesian
cri,Altaic
crj,Cariban
crk,Muskogean
crl,Austronesian
crn,Indo-European
cro,Siouan
crp,Tucanoan
crq,Na-Dene
crt,Matacoan
csc,Oto-Manguean
csf,Oto-Manguean
csh,Pano-Tacanan
csk,Niger-Congo
csl,other
cso,Oto-Manguean
ctc,Oto-Manguean
cte,Oto-Manguean
cti,Sino-Tibetan
ctl,Indo-European
ctm,Chitimacha
ctt,Oto-Manguean
ctw,Siouan
cua,Austro-Asiatic
cub,Tucanoan
cuc,Timote-Cuica
cui,Guahiban
cul,Arauan
cum,Niger-Congo
cup,Uto-Aztecan
cur,Arawakan
cut,Cuitlatec
cuu,Austronesian
cvc,other
cve,Trans-New Guinea
cwe,Salishan
cya,Oto-Manguean
cyg,Iroquoian
cyn,Algic
cyv,Cayuvava
cze,Indo-European
daa,Austronesian
dab,Afro-Asiatic
dad,Teberan-Pawaian
dag,Trans-New Guinea
dah,Afro-Asiatic
dak,Siouan
dam,Chibchan
dan,Mande
dar,Indo-European
dat,Eastern Sudanic
daw,Nadahup
day,Niger-Congo
dbd,Niger-Congo
dbr,Indo-European
dca,Austronesian
dda,Pama-Nyungan
ddf,Eastern Sudanic
ddj,Niger-Congo
dds,Dogon
def,Ijoid
deg,Niger-Congo
den,Arauan
der,Senagi
des,Tucanoan
det,Khoe-Kwadi
deu,Sino-Tibetan
dga,Niger-Congo
dgb,Niger-Congo
dge,other
dgi,Indo-European
dgo,Niger-Congo
dgr,Altaic
dgx,Na-Dene
dha,Afro-Asiatic
dhb,Pama-Nyungan
dhi,Indo-European
dhl,Pama-Nyungan
dhm,Sino-Tibetan
dhr,Pama-Nyungan
dhu,Pama-Nyungan
dhw,Pama-Nyungan
did,Eastern Sudanic
die,Hokan
dig,Sino-Tibetan
dim,Afro-Asiatic
din,Eastern Sudanic
dio,Niger-Congo
diy,Pama-Nyungan
diz,Afro-Asiatic
dja,Pama-Nyungan
dji,Mirndi
djm,Pama-Nyungan
djn,Pama-Nyungan
djp,Pama-Nyungan
djr,Pama-Nyungan
dli,Indo-European
dlm,Senagi
dma,Niger-Congo
dmi,Sino-Tibetan
dmk,Indo-European
dms,Sino-Tibetan
dng,Niger-Congo
dni,Trans-New Guinea
dnw,Afro-Asiatic
dob,Austronesian
dok,Niger-Congo
dol,Altaic
dom,Indo-European
don,Tai-Kadai
dou,Lakes Plain
doy,Niger-Congo
dre,Austronesian
drg,Nakh-Daghestanian
dri,Indo-European
drm,Sino-Tibetan
dsh,Indo-European
dts,Dogon
dua,Niger-Congo
dug,Afro-Asiatic
duk,Niger-Congo
dul,Sino-Tibetan
dum,Skou
dun,Duna-Bogaya
dut,Indo-European
duz,Indo-European
dyi,Pama-Nyungan
dym,Niger-Congo
dyu,Mande
ebi,Niger-Congo
edo,Trans-New Guinea
efi,Niger-Congo
ega,Niger-Congo
egn,Niger-Congo
eip,Trans-New Guinea
eja,Niger-Congo
eka,Trans-New Guinea
eko,Niger-Congo
els,Morwap
emb,Choco
emc,Choco
eme,Tupian
eml,Austronesian
emm,Western Daly
ena,Trans-New Guinea
ene,Uralic
eng,Indo-European
eno,Austronesian
eny,Niger-Congo
epe,Choco
erk,Austronesian
err,Austronesian
ese,Pano-Tacanan
esm,Tacame
ess,Esselen
est,Uralic
ets,Niger-Congo
eud,Uto-Aztecan
eve,Altaic
evn,Altaic
ewa,Niger-Congo
ewe,Niger-Congo
ewo,Niger-Congo
eya,Na-Dene
far,Indo-European
fas,Trans-New Guinea
fbf,Niger-Congo
fea,Indo-European
fef,Niger-Congo
fgu,Niger-Congo
fij,Austronesian
fin,Uralic
fio,Niger-Congo
fiw,Austronesian
fli,Niger-Congo
fma,Niger-Congo
fni,Niger-Congo
fno,Indo-European
foe,Trans-New Guinea
fon,Niger-Congo
for,Trans-New Guinea
fox,Algic
fqs,Baibai-Fas
frd,Austronesian
fre,Indo-European
fri,Indo-European
frw,Indo-European
fsl,other
fua,Niger-Congo
fue,Austronesian
ful,Fulniô
fum,Niger-Congo
fur,Fur
fus,Niger-Congo
fut,Austronesian
fuz,Sino-Tibetan
fye,Niger-Congo
ga,Niger-Congo
gaa,Gaagudju
gad,Niger-Congo
gae,Indo-European
gag,Altaic
gah,Trans-New Guinea
gal,Sino-Tibetan
gam,Afro-Asiatic
gan,Great Andamanese
gap,Austronesian
